Country/territory of asylum,Camps,Centres,Individual accommodation (private),Settlement,Undefined/ unknown,Total
Afghanistan,0,0,1022191,331991.0,194192,1548374
Albania,0,39,67,0.0,0,106
Algeria 1,90000,0,143,0.0,4821,94964
Angola,0,0,0,0.0,23357,23357
Antigua and Barbuda,0,0,0,0.0,0,0
Argentina,0,0,2423,0.0,2155,4578
Armenia,0,3981,25,0.0,81886,85892
Aruba,0,0,4,0.0,0,4
Australia,0,0,0,0.0,28676,28676
Austria,0,0,0,0.0,72017,72017
Azerbaijan,0,0,1793,0.0,600918,602711
Bahamas,0,6,36,0.0,0,42
Bahrain,0,0,359,0.0,0,359
Bangladesh,29435,0,236,0.0,200000,229671
Belarus,0,24,621,0.0,7391,8036
Belgium,0,0,0,0.0,42105,42105
Belize,0,0,133,0.0,0,133
Benin,2828,200,4547,0.0,0,7575
Bolivia (Plurinational State of),0,0,734,0.0,0,734
Bonaire,0,0,0,0.0,0,0
Bosnia and Herzegovina,35,0,0,0.0,177786,177821
Botswana,3558,0,0,0.0,0,3558
Brazil,0,0,9147,0.0,0,9147
British Virgin Islands,0,0,2,0.0,0,2
Brunei Darussalam,0,0,0,0.0,20992,20992
Bulgaria,0,6402,0,0.0,670,7072
Burkina Faso,0,0,1211,0.0,0,1211
Burundi,22484,0,107709,0.0,9,130202
Cambodia,0,0,113,0.0,0,113
Cameroon,3747,0,96704,3220.0,0,103671
Canada,0,0,0,0.0,206735,206735
Cayman Islands,0,0,4,0.0,0,4
Central African Rep.,14244,0,11404,174248.0,7,199903
Chad,471939,0,649,0.0,25147,497735
Chile,0,0,0,0.0,2038,2038
China,0,300895,153,0.0,0,301048
"-  Hong Kong SAR, China",0,0,750,0.0,0,750
"-  Macao SAR, China",0,0,11,0.0,0,11
Colombia,0,0,0,0.0,3888684,3888684
Comoros,0,0,0,0.0,0,0
"Congo, Rep. of",0,0,17991,127316.0,12,145319
Costa Rica,0,0,20512,0.0,0,20512
C̫te d'Ivoire,13624,0,740844,0.0,40,754508
Croatia,0,621,23546,0.0,134,24301
Cuba,0,364,24,0.0,1,389
Curacao,0,0,12,0.0,0,12
Cyprus,0,0,0,0.0,6562,6562
Czech Rep.,0,0,0,0.0,3358,3358
Dem. Rep. of the Congo,78740,57,35270,1777753.0,815112,2706932
Denmark,0,0,0,0.0,18009,18009
Djibouti,19500,0,2747,0.0,0,22247
Dominica,0,0,0,0.0,0,0
Dominican Rep.,0,0,2380,0.0,0,2380
Ecuador,0,0,0,0.0,144994,144994
Egypt,0,0,114085,0.0,0,114085
El Salvador,0,0,43,0.0,0,43
Equatorial Guinea,0,0,0,0.0,0,0
Eritrea,4645,0,74,0.0,7,4726
Estonia,0,9,97799,0.0,0,97808
Ethiopia,261091,12141,2640,12965.0,1375,290212
Fiji,0,1,7,0.0,0,8
Finland,0,0,0,0.0,15072,15072
France,0,0,0,0.0,260627,260627
Gabon,0,0,12792,0.0,0,12792
Gambia,0,0,9554,0.0,0,9554
Georgia,0,39,10,0.0,276019,276068
Germany,0,0,0,0.0,658818,658818
Ghana,8125,346,5412,11133.0,1204,26220
Greece,0,0,0,0.0,45720,45720
Grenada,0,0,3,0.0,0,3
Guatemala,0,0,0,0.0,159,159
Guinea,12875,4045,294,0.0,1,17215
Guinea-Bissau,0,0,4440,396.0,3055,7891
Guyana,0,0,8,0.0,0,8
Haiti,0,0,6,0.0,0,6
Honduras,0,0,17,0.0,0,17
Hungary,0,590,0,0.0,4965,5555
Iceland,0,0,60,0.0,185,245
India,68152,0,20484,0.0,100001,188637
Indonesia,0,988,3023,17.0,211,4239
"Iran, Islamic Rep. of",29874,0,857039,0.0,1,886914
Iraq,10663,0,1621794,0.0,120009,1752466
Ireland,0,0,0,0.0,13688,13688
Israel,0,0,47704,0.0,0,47704
Italy,0,0,0,0.0,72761,72761
Jamaica,0,0,20,0.0,0,20
Japan,0,0,0,0.0,7581,7581
Jordan2,0,0,455984,0.0,2,455986
Kazakhstan,0,0,11705,0.0,0,11705
Kenya,549289,0,52472,300000.0,20066,921827
Kuwait,0,0,1453,0.0,93000,94453
Kyrgyzstan,0,0,210618,0.0,185,210803
Lao People's Dem. Rep.,0,0,0,0.0,0,0
Latvia,0,230,312362,0.0,96,312688
Lebanon,0,0,15566,0.0,0,15566
Lesotho,0,0,37,0.0,0,37
Liberia,32172,0,100304,0.0,9,132485
Libya,93565,10435,0,0.0,609587,713587
Liechtenstein,0,0,0,0.0,153,153
Lithuania,0,107,4261,0.0,10,4378
Luxembourg,0,0,0,0.0,4726,4726
Madagascar,0,0,11,0.0,0,11
Malawi,16853,0,0,0.0,0,16853
Malaysia,0,0,0,0.0,217618,217618
Mali,48,0,18073,0.0,0,18121
Malta,0,2125,1314,0.0,4970,8409
Mauritania,0,0,2184,0.0,26000,28184
Mauritius,0,0,0,0.0,0,0
Mexico,0,0,1395,0.0,918,2313
Micronesia (Federated States of),0,0,0,0.0,0,0
Monaco,0,0,0,0.0,37,37
Mongolia,0,0,6,0.0,292,298
Montenegro,1462,38,15350,0.0,4312,21162
Montserrat,0,0,5,0.0,0,5
Morocco,0,0,1351,0.0,0,1351
Mozambique,9576,0,4105,0.0,5,13686
Myanmar,0,0,0,0.0,1147275,1147275
Namibia,32,24,0,6065.0,897,7018
Nepal,56052,128,287,0.0,817656,874123
Netherlands,0,0,0,0.0,87023,87023
New Zealand,0,0,0,0.0,2174,2174
Nicaragua,0,0,92,0.0,0,92
Niger,0,0,425,0.0,0,425
Nigeria,3126,0,5243,1966.0,0,10335
Norway,0,0,0,0.0,54617,54617
Occupied Palestinian Territory,0,0,0,0.0,0,0
Oman,0,0,126,0.0,0,126
Pakistan,685628,0,1471628,0.0,623811,2781067
Palau,0,0,2,0.0,0,2
Panama,0,0,18059,0.0,0,18059
Papua New Guinea,2366,0,2445,4567.0,0,9378
Paraguay,0,0,133,0.0,0,133
Peru,0,0,1638,0.0,0,1638
Philippines,0,0,183,0.0,159533,159716
Poland,0,1549,0,0.0,17947,19496
Portugal,0,0,0,0.0,653,653
Qatar,0,0,129,0.0,1200,1329
Rep. of Korea,0,0,1423,0.0,326,1749
Rep. of Moldova,0,49,2219,0.0,0,2268
Romania,0,123,0,0.0,1910,2033
Russian Federation,0,0,80,0.0,221699,221779
Rwanda,53560,0,9621,0.0,964,64145
Saint Kitts and Nevis,0,0,0,0.0,0,0
Saint Lucia,0,0,5,0.0,0,5
Saint Maarten,0,0,3,0.0,0,3
Saint Vincent and the Grenadines,0,0,1,0.0,0,1
Sao Tome and Principe,0,0,0,0.0,0,0
Saudi Arabia,0,2,677,0.0,70000,70679
Senegal,0,0,22907,0.0,0,22907
Serbia (and Kosovo: S/RES/1244 (1999)),0,479,19808,0.0,289290,309577
Sierra Leone,0,0,4461,3695.0,0,8156
Singapore,0,0,3,0.0,0,3
Slovakia,0,175,492,0.0,173,840
Slovenia,0,103,0,0.0,142,245
Somalia,0,0,8248,1356845.00768,90,1365183
South Africa,0,0,0,0.0,277267,277267
South Sudan,75861,0,88,0.0,590229,666178
Spain,0,0,0,0.0,6934,6934
Sri Lanka,14250,54,338,0.0,271093,285735
Sudan,1978814,0,41532,238261.0,639639,2898246
Suriname,0,0,3,0.0,0,3
Swaziland,0,0,0,0.0,759,759
Sweden,0,0,0,0.0,115097,115097
Switzerland,0,0,0,0.0,67385,67385
Syrian Arab Rep.3,182,0,757093,0.0,231000,988275
Tajikistan,0,0,7650,0.0,1,7651
Thailand,100152,0,2458,0.0,506197,608807
The former Yugoslav Republic of Macedonia,0,344,2329,0.0,0,2673
Timor-Leste,0,0,2,0.0,0,2
Togo,2779,0,3206,0.0,13738,19723
Tonga,0,0,3,0.0,0,3
Trinidad and Tobago,0,0,42,0.0,0,42
Tunisia,4383,0,274,0.0,0,4657
Turkey,34,0,25395,0.0,10356,35785
Turkmenistan,0,0,11059,0.0,0,11059
Uganda,29776,0,138334,120401.0,8,288519
Ukraine,0,0,2585,0.0,44030,46615
United Arab Emirates,0,0,722,0.0,0,722
United Kingdom,0,0,0,0.0,210622,210622
United Rep. of Tanzania,101105,23,22575,170501.0,0,294204
United States of America,0,0,0,0.0,276484,276484
Uruguay,0,0,225,0.0,0,225
Uzbekistan,0,0,214,0.0,0,214
Vanuatu,0,0,2,0.0,0,2
Venezuela (Bolivarian Republic of),0,0,219391,0.0,0,219391
Viet Nam,990,0,10200,0.0,21,11211
Yemen,28979,0,544958,0.0,0,573937
Zambia,0,0,5252,41401.0,0,46653
Zimbabwe,4819,0,1040,0.0,53816,59675
